Category: All categories

Week,udemy: (Worldwide),coursera: (Worldwide),edx: (Worldwide)
2018-06-24,36,18,13
2018-07-01,34,19,12
2018-07-08,38,18,12
2018-07-15,34,18,11
2018-07-22,37,19,12
2018-07-29,40,19,13
2018-08-05,33,18,12
2018-08-12,34,17,11
2018-08-19,37,17,12
2018-08-26,41,18,12
2018-09-02,35,19,12
2018-09-09,35,19,13
2018-09-16,36,19,12
2018-09-23,37,18,12
2018-09-30,34,18,12
2018-10-07,33,18,13
2018-10-14,33,17,12
2018-10-21,35,17,11
2018-10-28,33,16,12
2018-11-04,35,15,10
2018-11-11,35,17,11
2018-11-18,55,16,10
2018-11-25,54,16,11
2018-12-02,37,16,11
2018-12-09,34,15,10
2018-12-16,33,15,9
2018-12-23,36,14,8
2018-12-30,42,16,9
2019-01-06,52,18,11
2019-01-13,40,18,11
2019-01-20,41,17,10
2019-01-27,42,19,11
2019-02-03,39,18,11
2019-02-10,40,19,11
2019-02-17,41,19,11
2019-02-24,35,17,9
2019-03-03,33,16,10
2019-03-10,37,17,10
2019-03-17,38,17,10
2019-03-24,36,19,10
2019-03-31,35,18,10
2019-04-07,35,16,10
2019-04-14,33,16,9
2019-04-21,39,18,9
2019-04-28,37,17,9
2019-05-05,35,17,10
2019-05-12,40,19,10
2019-05-19,40,19,10
2019-05-26,40,19,10
2019-06-02,39,20,11
2019-06-09,51,21,11
2019-06-16,46,21,12
2019-06-23,44,21,12
2019-06-30,44,21,12
2019-07-07,46,21,11
2019-07-14,46,20,11
2019-07-21,47,20,11
2019-07-28,48,21,11
2019-08-04,49,20,11
2019-08-11,45,21,10
2019-08-18,53,21,12
2019-08-25,58,22,11
2019-09-01,52,20,11
2019-09-08,49,21,12
2019-09-15,52,24,11
2019-09-22,50,21,12
2019-09-29,50,22,11
2019-10-06,50,21,11
2019-10-13,48,20,12
2019-10-20,50,19,11
2019-10-27,43,18,10
2019-11-03,50,19,10
2019-11-10,46,19,10
2019-11-17,47,20,10
2019-11-24,67,19,9
2019-12-01,61,19,10
2019-12-08,52,18,9
2019-12-15,50,19,10
2019-12-22,49,17,8
2019-12-29,53,19,9
2020-01-05,72,22,11
2020-01-12,58,23,10
